id,jenis_usaha,judul,kbli,kementrian,perizinan,sub_kbli,uraian
1340,,"PERDAGANGAN BESAR PERALATAN TELEKOMUNIKASI",46523,,,,"Kelompok ini mencakup usaha perdagangan besar peralatan telekomunikasi, seperti perlengkapan telepon dan komunikasi. Termasuk peralatan penyiaran radio dan televisi."
1341,,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN PERTANIAN",4653,,,,"Subgolongan ini mencakup perdagangan besar peralatan dan mesin pertanian.Subgolongan ini mencakup :- Perdagangan besar bajak, penyebar pupuk, penanam biji- Perdagangan besar alat panen- Perdagangan besar alat penebah- Perdagangan besar mesin pemerah susu- Perdagangan besar mesin beternak unggas dan mesin beternak lebah - Perdagangan besar traktor yang digunakan dalam pertanian dan kehutananSubgolongan ini juga mencakup : - Mesin pemotong rumput"
1342,,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN PERTANIAN",46530,,,,"Kelompok ini mencakup usaha perdagangan besar mesin, peralatan dan perlengkapan pertanian, seperti : bajak, penyebar pupuk, penanam biji, alat panen, alat penebah, mesin pemerah susu, mesin beternak unggas dan mesin beternak lebah dan traktor yang digunakan dalam pertanian dan kehutanan. Termasuk mesin pemotong rumput."
1343,,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA",4659,,,,"Subgolongan ini mencakup :- Perdagangan besar peralatan dan mesin kantor, kecuali komputer dan perlengkapannya- Perdagangan besar furnitur kantor- Perdagangan besar peralatan transportasi kecuali mobil, sepeda motor dan sepeda- Perdagangan besar robot-robot produksi- Perdagangan besar kabel dan sakelar serta instalasi peralatan lain untuk keperluan industri- Perdagangan besar material listrik lainnya seperti motor listrik, trafo- Perdagangan besar perkakas mesin untuk berbagai jenis dan berbagai bahan- Perdagangan besar mesin-mesin lain ytdl untuk keperluan industri, perdagangan dan navigasi serta jasa lainnya- Perdagangan besar peralatan mesin yang dikendalikan komputer- Perdagangan besar mesin yang dikendalikan komputer untuk industri tekstil serta mesin jahit dan rajut yang dikendalikan komputer- Perdagangan besar peralatan dan perlengkapan pengukuranSubgolongan ini tidak mencakup :- Perdagangan besar mobil, trailer dan karavan, lihat 4510- Perdagangan besar suku cadang dan aksesori mobil, lihat 4530- Perdagangan besar sepeda motor, lihat 4540- Perdagangan besar sepeda, lihat 4649- Perdagangan besar komputer dan perlengkapannya, lihat 4651- Perdagangan besar alat elektronik serta perlengkapan telepon dan komunikasi, lihat 4652"
1344,,"PERDAGANGAN BESAR MESIN KANTOR DAN INDUSTRI PENGOLAHAN, SUKU CADANG DAN PERLENGKAPANNYA",46591,,,,"Kelompok ini mencakup usaha perdagangan besar mesin industri dan mesin kantor kecuali komputer, serta perlengkapannya, seperti mesin pengolahan kayu dan logam, macam-macam mesin untuk industri dan untuk keperluan kantor. Termasuk perdagangan besar robot-robot produksi pengolahan, mesin-mesin lain ytdl untuk keperluan industri, dan mesin yang dikendalikan komputer untuk industri tekstil serta mesin jahit dan rajut yang dikendalikan komputer."
1345,,"PERDAGANGAN BESAR ALAT TRANSPORTASI LAUT, SUKU CADANG DAN PERLENGKAPANNYA",46592,,,,"Kelompok ini mencakup usaha perdagangan besar macam-macam alat transportasi laut bermotor ataupun tidak bermotor, termasuk usaha perdagangan besar macam-macam suku cadang dan perlengkapannya."
1346,,"PERDAGANGAN BESAR ALAT TRANSPORTASI DARAT (BUKAN MOBIL, SEPEDA MOTOR, DAN SEJENISNYA), SUKU CADANG DAN PERLENGKAPANNYA",46593,,,,"Kelompok ini mencakup usaha perdagangan besar macam-macam alat transportasi darat, bermotor ataupun tidak bermotor (bukan mobil, sepeda motor dan sejenisnya), termasuk usaha perdagangan besar macam-macam suku cadang dan perlengkapannya."
1347,,"PERDAGANGAN BESAR ALAT TRANSPORTASI UDARA, SUKU CADANG DAN PERLENGKAPANNYA",46594,,,,"Kelompok ini mencakup usaha perdagangan besar macam-macam alat transportasi udara, termasuk usaha perdagangan besar macam-macam suku cadang dan perlengkapannya."
1348,,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA",46599,,,,"Kelompok ini mencakup usaha perdagangan besar mesin dan peralatan serta perlengkapan yang belum diklasifikasikan dalam kelompok 46591 s.d. 46594, seperti mesin penggerak mula, turbin, mesin pembangkit listrik dan mesin untuk keperluan rumah tangga. Termasuk perdagangan besar robot- robot produksi selain untuk pengolahan, mesin-mesin lain ytdl untuk perdagangan dan navigasi serta jasa lainnya, perdagangan besar kabel dan sakelar serta instalasi peralatan lain, perkakas mesin berbagai jenis dan untuk berbagai bahan, perkakas mesin yang dikendalikan komputer dan peralatan dan perlengkapan pengukuran."
1349,,"PERDAGANGAN BESAR KHUSUS LAINNYA",466,,,,"Golongan ini mencakup kegiatan perdagangan besar yang tidak diklasifikasikan dalam golongan lain dari golongan pokok 46. Perdagangan besar yang dicakup di sini adalah perdagangan besar produk antara, kecuali input pertanian. Perdagangan besar di sini mencakup bahan bakar padat, cair dan gas serta produk yang berkaitan, logam dan bijih logam, bahan-bahan konstruksi, perangkat keras, peralatan dan persediaan pemasangan pipa dan pemanas, pembuangan dan sisaan potongan serta produk lain ytdl."
1350,,"PERDAGANGAN BESAR BAHAN BAKAR PADAT, CAIR DAN GAS DAN PRODUK YBDI",4661,,,,"Subgolongan ini mencakup perdagangan besar bahan bakar, grease (minyak semir), minyak pelumas dan minyak.Subgolongan ini mencakup :- Perdagangan besar arang, batu bara, ampas arang batu, bahan bakar kayu, nafta- Perdagangan besar minyak bumi mentah, minyak mentah, bahan bakar diesel, gasoline, bahan bakar oli, kerosin- Perdagangan besar LPG, gas butana dan propana- Perdagangan besar minyak semir dan pelumas, produk minyak bumi yang telah dimurnikan- Perdagangan besar bahan bakar nuklir"
1351,,"PERDAGANGAN BESAR BAHAN BAKAR PADAT, CAIR DAN GAS DAN PRODUK YBDI",46610,,,,"Kelompok ini mencakup usaha perdagangan besar bahan bakar gas, cair, dan padat serta produk sejenisnya, seperti minyak bumi mentah, minyak mentah, bahan bakar diesel, gasoline, bahan bakar oli, kerosin, premium, solar, minyak tanah, batu bara, arang, ampas arang batu, bahan bakar kayu, nafta, bahan bakar nabati (biofuels) dan bahan bakar lainnya termasuk pula bahan bakar gas (LPG, gas butana dan propana, dan lain- lain) dan minyak semir, minyak pelumas dan produk minyak bumi yang telah dimurnikan, serta bahan bakar nuklir."
1352,,"PERDAGANGAN BESAR LOGAM DAN BIJIH LOGAM",4662,,,,"Subgolongan ini mencakup :- Perdagangan besar logam bijih besi dan bukan besi- Perdagangan besar besi dan bukan besi dalam bentuk dasar- Perdagangan besar produk logam besi dan bukan besi setengah jadi ytdl - Perdagangan besar emas dan logam mulia lain (perak, platina)Subgolongan ini tidak mencakup :- Perdagangan besar sisaan logam, lihat 4669"
1353,,"PERDAGANGAN BESAR LOGAM DAN BIJIH LOGAM",46620,,,,"Kelompok ini mencakup usaha perdagangan besar bijih logam dan logam dasar, seperti bijih besi dan bijih bukan besi dalam bentuk dasar, seperti bijih nikel, bijih tembaga, alumunium, besi, baja dan perdagangan besar produk logam besi dan bukan besi setengah jadi ytdl dan lain-lainnya. Termasuk perdagangan besar emas dan logam mulia lain (perak, platina)."
1354,,"PERDAGANGAN BESAR BAHAN DAN PERLENGKAPAN BANGUNAN",4663,,,,"Subgolongan ini mencakup :- Perdagangan besar kayu kasar (dalam keadaan belum diolah) - Perdagangan besar produk utama kayu olahan- Perdagangan besar cat dan pernis- Perdagangan besar bahan bangunan, seperti pasir, batu kerikil- Perdagangan besar kertas dinding/wallpaper dan penutup lantai- Perdagangan besar kaca datar- Perdagangan besar kunci- Perdagangan besar perabot dan peralatan tetap- Perdagangan besar pemanas air (heater)- Perdagangan besar peralatan kebersihan, seperti porselen kamar mandi, wastafel, toilet dan porselen perlengkapan kebersihan lainnya- Perdagangan besar perlengkapan pemasangan peralatan kebersihan, seperti tabung, pipa, perabot, keran, pipa-T, pipa sambungan, pipa karet dan lain-lain- Perdagangan besar peralatan bangunan seperti palu, gergaji, obeng dan peralatan tangan lainnya"
1355,,"PERDAGANGAN BESAR BARANG LOGAM UNTUK BAHAN KONSTRUKSI",46631,,,,"Kelompok ini mencakup usaha perdagangan besar berbagai macam baja/besi untuk bahan konstruksi seperti baja tulangan, baja profil, pelat baja, dan baja lembaran, pipa besi/baja, kawat tali, kawat nyamuk, paku, mur/baut, engsel, gerendel, kunci, anak kunci, tangki air, menara air, rolling door, awning dan seng lembaran."
1356,,"PERDAGANGAN BESAR KACA",46632,,,,"Kelompok ini mencakup usaha perdagangan besar kaca lembaran untuk bahan konstruksi, seperti kaca lembaran bening, kaca lembaran buram, kaca lembaran bening berwarna dan kaca lembaran berukir."
1357,,"PERDAGANGAN BESAR GENTENG, BATU BATA, UBIN DAN SEJENISNYA DARI TANAH LIAT, KAPUR, SEMEN ATAU KACA",46633,,,,"Kelompok ini mencakup usaha perdagangan besar genteng, batu bata dan ubin yang terbuat dari tanah liat, kapur, semen atau kaca untuk bahan konstruksi, seperti genteng pres, genteng kodok, batu bata pres, batu bata berongga, bata tahan api, ubin lantai, ubin dinding, ubin batako, termasuk juga lubang angin, bak mandi, kloset, eternit, pipa irigasi dan buis."
1358,,"PERDAGANGAN BESAR SEMEN, KAPUR, PASIR DAN BATU",46634,,,,"Kelompok ini mencakup usaha perdagangan besar semen, kapur, pasir, dan batu untuk bahan konstruksi, seperti semen portland putih, semen portland abu-abu, semen posolan kapur, semen portland posolan, kapur tohor, kapur tembok, pasir, kerikil, koral, batu, batu pecahan, batu lempengan, batu pualam dan kubus mosaik."
1359,,"PERDAGANGAN BESAR BAHAN KONSTRUKSI DARI PORSELEN",46635,,,,"Kelompok ini mencakup usaha perdagangan besar bahan konstruksi dari porselen, seperti kloset, bidet, wastafel, winoir, bak cuci, bak mandi dan ubin dinding."
1360,,"PERDAGANGAN BESAR BAHAN KONSTRUKSI DARI KAYU",46636,,,,"Kelompok ini mencakup usaha perdagangan besar bahan konstruksi dari kayu, seperti papan, galar, papan reng, papan lis, tiang telepon, tiang listrik, balok bantalan, kusen pintu/jendela, daun pintu/jendela, ubin kayu, atap kayu (sirap), kayu lapis tripleks, kayu lapis interior, teak wood, particle board, chip board, kayu pelapis dan kayu lapis untuk cetak beton."
1361,,"PERDAGANGAN BESAR CAT",46637,,,,"Kelompok ini mencakup usaha perdagangan besar berbagai macam cat untuk bahan konstruksi, seperti cat dasar, cat logam, cat kayu dan cat tembok. Termasuk juga perdagangan eceran email, dempul dan plamir."
1362,,"PERDAGANGAN BESAR BERBAGAI MACAM MATERIAL BANGUNAN",46638,,,,"Kelompok ini mencakup usaha perdagangan besar macam-macam material bangunan, seperti semen, pasir, paku, cat dan lain-lain."
1363,,"PERDAGANGAN BESAR BAHAN KONSTRUKSI LAINNYA",46639,,,,"Kelompok ini mencakup usaha perdagangan besar bahan konstruksi lainnya yang belum tercakup dalam kelompok 46631 s.d. 46638, seperti wallpaper, pipa dan selang dari plastik, formika, plastik lembaran bergelombang, asbes semen rata, asbes semen berlapis dan pipa saluran asbes semen. Termasuk perdagangan besar pemanas air (water heater)."
1364,,"PERDAGANGAN BESAR MINERAL BUKAN LOGAM, MINERAL RADIOAKTIF, ZAT RADIOAKTIF DAN PEMBANGKIT RADIASI PENGION",4664,,,,"Subgolongan ini mencakup:- Perdagangan besar mineral bukan logam- Perdagangan besar mineral radioaktif- Perdagangan besar zat radioaktif dan pembangkit radiasi pengion"
1365,,"PERDAGANGAN BESAR MINERAL BUKAN LOGAM",46641,,,,"Kelompok ini mencakup usaha perdagangan besar mineral bukan logam seperti intan, korundum, grafit, arsen, pasir kuarsa, fluorspar, kriolit, yodium, brom, klor, belerang, fosfat, halit, asbes, talk, mika, magnesit, yarosit, oker, fluorit, ball clay, zeolit, kaolin, feldspar, bentonit, gipsum,dolomit, kalsit, rijang, pirofilit, kuarsit, zirkon, wolastonit, tawas, batu kuarsa, perlit, garam batu, clay, dan batu gamping untuk semen."
1366,,"PERDAGANGAN BESAR MINERAL RADIOAKTIF",46642,,,,"Kelompok ini mencakup usaha perdagangan besar mineral radio aktif seperti radium, torium, uranium, monasit, dan bahan galian radioaktif lainnya."
1367,,"PERDAGANGAN BESAR ZAT RADIOAKTIF DAN PEMBANGKIT RADIASI PENGION",46643,,,,"Kelompok ini mencakup usaha perdagangan besar zat radioaktif dan pembangkit radiasi pengion."
1368,,"PERDAGANGAN BESAR BAHAN DAN BARANG KIMIA",4665,,,,"Subgolongan ini mencakup:- Perdagangan besar bahan dan barang kimia- Perdagangan besar pupuk dan produk agrokimia- Perdagangan besar bahan berbahaya (B2)- Perdagangan besar bahan berbahaya dan beracun (B3)"
1369,,"PERDAGANGAN BESAR BAHAN DAN BARANG KIMIA",46651,,,,"Kelompok ini mencakup usaha perdagangan besar bahan dan barang kimia dasar atau kimia industri, seperti tinta printer, minyak esensial, gas industri, perekat kimia, pewarna, resin buatan, metanol, parafin, perasa dan pewangi, soda, garam industri, asam dan sulfur dan lain-lain."
1370,,"PERDAGANGAN BESAR PUPUK DAN PRODUK AGROKIMIA",46652,,,,"Kelompok ini mencakup usaha perdagangan besar pupuk dan produk agrokimia atau kimia pertanian."
1371,,"PERDAGANGAN BESAR BAHAN BERBAHAYA (B2)",46653,,,,"Kelompok ini mencakup usaha perdagangan besar bahan berbahaya (B2)."
1372,,"PERDAGANGAN BESAR BAHAN BERBAHAYA DAN BERACUN (B3)",46654,,,,"Kelompok ini mencakup usaha perdagangan besar bahan berbahaya dan beracun (B3)."
1373,,"PERDAGANGAN BESAR PRODUK LAINNYA TERMASUK BARANG SISA DAN POTONGAN YTDL",4669,,,,"Subgolongan ini mencakup:- Perdagangan besar bahan plastik dalam bentuk dasar- Perdagangan besar karet- Perdagangan besar serat atau fiber tekstil dan lain-lain- Perdagangan besar kertas dalam jumlah besar (borongan)- Perdagangan besar barang dari kertas dan karton- Perdagangan besar alat laboratorium, alat farmasi dan alat kedokteran- Perdagangan besar batu mulia (berlian, intan, safir dan lain-lain)- Perdagangan besar barang bekas dan sisa-sisa dan potongan logam dan non-logam bahan untuk daur ulang, termasuk pengumpulan, pengurutan, pemisahan, pelepasan barang yang masih berguna misalnya mobil agar mendapatkan bagian yang masih bisa digunakan, pengepakan dan pengepakan kembali, penyimpanan dan pengiriman, tapi tanpa proses perubahan yang nyata. Apalagi, pembelian dan penjualan barang sisaan masih mempunyai nilaiSubgolongan ini juga mencakup:- Pembongkarkan mobil, komputer, televisi dan peralatan lainnya untuk mendapatkan dan menjual kembali bagian yang masih dapat dipakaiSub golongan ini tidak mencakup:- Pengumpulan sampah rumah tangga dan sisa industri, lihat golongan 381 - Treatment barang sisa, bukan untuk penggunaan lebih lanjut dalam proses industri pabrik, tapi dengan tujuan untuk pembuangan, lihat golongan 382- Pengolahan barang sisa dan potongan serta barang lainnya menjadi barang baku sekunder, hasilnya siap untuk digunakan langsung dalam proses industri pabrik, tapi bukan sebagai barang akhir, lihat 3830- Pembongkarkan mobil, komputer, televisi dan peralatan lainnya untuk daur ulang, lihat 3830- Pembongkaran mobil melalui proses mekanik, lihat 3830- Pembongkaran kapal, lihat 3830- Perdagangan eceran dari barang-barang bekas (second-hand), lihat 4774"
1374,,"PERDAGANGAN BESAR ALAT LABORATORIUM, ALAT FARMASI DAN ALAT KEDOKTERAN UNTUK MANUSIA",46691,,,,"Kelompok ini mencakup usaha perdagangan besar alat laboratorium, alat farmasi dan alat kedokteran untuk manusia."
1375,,"PERDAGANGAN BESAR ALAT LABORATORIUM, ALAT FARMASI DAN ALAT KEDOKTERAN UNTUK HEWAN",46692,,,,"Kelompok ini mencakup usaha perdagangan besar alat laboratorium, alat farmasi dan alat kedokteran untuk hewan yang meliputi kegiatan pemasukan, pengeluaran dan distribusi."
1376,,"PERDAGANGAN BESAR KARET DAN PLASTIK DALAM BENTUK DASAR",46693,,,,"Kelompok ini mencakup usaha perdagangan besar karet dan bahan plastik dalam bentuk dasar."
1377,,"PERDAGANGAN BESAR KERTAS DAN KARTON",46694,,,,"Kelompok ini mencakup usaha perdagangan besar kertas dan karton."
1378,,"PERDAGANGAN BESAR BARANG DARI KERTAS DAN KARTON",46695,,,,"Kelompok ini mencakup usaha perdagangan besar barang dari kertas dan karton."
1379,,"PERDAGANGAN BESAR BARANG BEKAS DAN SISA-SISA TAK TERPAKAI (SCRAP)",46696,,,,"Kelompok ini mencakup usaha perdagangan besar barang bekas dan sisa- sisa tak terpakai dan potongan logam dan non-logam bahan untuk daur ulang, termasuk pengumpulan, pengurutan, pemisahan, pelepasan barang yang masih berguna misalnya mobil agar mendapatkan bagian yang masih bisa digunakan, pengepakan dan pengepakan kembali, penyimpanan dan pengiriman, tapi tanpa proses perubahan yang nyata. Dimana pembelian dan penjualan barang sisaan masih mempunyai nilai."
1380,,"PERDAGANGAN BESAR PRODUK LAINNYA YTDL",46699,,,,"Kelompok ini mencakup usaha perdagangan besar produk lainnya yang belum tercakup dalam salah satu kelompok perdagangan besar diatas. Termasuk perdagangan besar serat atau fiber tekstil dan lain-lain, perdagangan besar batu mulia (berlian, intan, safir dan lain-lain)."
1381,,"PERDAGANGAN BESAR BERBAGAI MACAM BARANG",469,,,,"Golongan ini mencakup perdagangan besar berbagai macam barang tanpa ada kekhususan tertentu."
1382,,"PERDAGANGAN BESAR BERBAGAI MACAM BARANG",4690,,,,"Subgolongan ini mencakup:- Perdagangan besar dari berbagai macam barang yang tanpa mengkhususkan barang tertentu (tanpa ada kekhususan tertentu)."
1383,,"PERDAGANGAN BESAR BERBAGAI MACAM BARANG",46900,,,,"Kelompok ini mencakup usaha perdagangan besar berbagai macam barang yang tanpa mengkhususkan barang tertentu (tanpa ada kekhususan tertentu) termasuk perkulakan."
1384,,"PERDAGANGAN ECERAN, BUKAN MOBIL DAN MOTOR",47,,,,"Barang yang dijual dalam golongan pokok ini dibatasi untuk barang yang biasanya berkenaan dengan barang konsumen atau barang eceran. Oleh karena itu barang yang biasanya tidak masuk perdagangan eceran, seperti bijih-bijihan, mesin industri dan lain-lain dikeluarkan dari golongan pokok ini. Golongan pokok ini juga mencakup unit yang utamanya diikutsertakan dalam penjualan ke masyarakat umum dari barang dagangan yang dipertujukan, produk seperti komputer pribadi, alat tulis, lukisan atau bingkai, meskipun penjualan disini mungkin bukan untuk penggunaan pribadi atau rumah tangga. Beberapa pengolahan barang mungkin tercakup, tetapi hanya saat-saat tertentu untuk penjualan, misalnya pemilihan dan pengepakan ulang barang, instalasi peralatan rumah tangga dan lain-lain. Golongan pokok ini juga termasuk penjualan eceran oleh agen komisi dan kegiatan tempat pelelangan eceran. Tidak termasuk disini menjual produk pertanian oleh petani, industri dan penjualan barangnya, yang umumnya diklasifikasikan sebagai industri pada golongan pokok 10- 32, perdagangan mobil, motor dan bagian-bagiannya, padi-padian, minyak mentah, industri kimia, mesin dan peralatan indutri dan besi baja, perdagangan makanan dan minuman untuk konsumsi ditempat dan dibawa pulang (take away), penyewaan barang pribadi dan rumah tangga untuk masyarakat umum."
